loss,accuracy,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1.798432892560959,0.498,1704732102,checkpoint_000000,True,False,1,beb3a_00000,2024-01-08_11-41-42,17.255268812179565,17.255268812179565,16452,NEU-HS42DH2,127.0.0.1,17.255268812179565,1
1.0983157813549043,0.7032,1704732109,checkpoint_000001,True,False,2,beb3a_00000,2024-01-08_11-41-49,7.358029127120972,24.613297939300537,16452,NEU-HS42DH2,127.0.0.1,24.613297939300537,2
0.829838153719902,0.7348,1704732117,checkpoint_000002,True,False,3,beb3a_00000,2024-01-08_11-41-57,7.944601058959961,32.5578989982605,16452,NEU-HS42DH2,127.0.0.1,32.5578989982605,3
0.7262602776288987,0.748,1704732125,checkpoint_000003,True,False,4,beb3a_00000,2024-01-08_11-42-05,7.83896017074585,40.39685916900635,16452,NEU-HS42DH2,127.0.0.1,40.39685916900635,4
0.67328180372715,0.7536,1704732133,checkpoint_000004,True,False,5,beb3a_00000,2024-01-08_11-42-13,7.579591989517212,47.97645115852356,16452,NEU-HS42DH2,127.0.0.1,47.97645115852356,5
0.6390699684619904,0.7632,1704732141,checkpoint_000005,True,False,6,beb3a_00000,2024-01-08_11-42-21,8.322382926940918,56.29883408546448,16452,NEU-HS42DH2,127.0.0.1,56.29883408546448,6
0.6144740894436836,0.77,1704732149,checkpoint_000006,True,False,7,beb3a_00000,2024-01-08_11-42-29,7.594088315963745,63.89292240142822,16452,NEU-HS42DH2,127.0.0.1,63.89292240142822,7
0.5954175263643264,0.7724,1704732156,checkpoint_000007,True,False,8,beb3a_00000,2024-01-08_11-42-36,7.779043436050415,71.67196583747864,16452,NEU-HS42DH2,127.0.0.1,71.67196583747864,8
0.579087707400322,0.7776,1704732164,checkpoint_000008,True,False,9,beb3a_00000,2024-01-08_11-42-44,7.5628662109375,79.23483204841614,16452,NEU-HS42DH2,127.0.0.1,79.23483204841614,9
0.5659921869635582,0.7844,1704732171,checkpoint_000009,True,False,10,beb3a_00000,2024-01-08_11-42-51,7.463750600814819,86.69858264923096,16452,NEU-HS42DH2,127.0.0.1,86.69858264923096,10
